playerName,team,rating,region,playerStatistics,agent,playerCategory
Nora,SOL,1.01,Americas,"{'average_combat_score': '202.2', 'kill_deaths': '1.03', 'kill_assists_survived_traded': '72%', 'average_damage_per_round': '131.6', 'kills_per_round': '0.70', 'assists_per_round': '0.32', 'first_kills_per_round': '0.09', 'first_deaths_per_round': '0.09', 'headshot_percentage': '30%', 'clutch_success_percentage': '12%'}","['gekko', 'kayo', 'sage']",vct-game-changer
Raven,TDY,1.01,Americas,"{'average_combat_score': '189.3', 'kill_deaths': '0.98', 'kill_assists_survived_traded': '70%', 'average_damage_per_round': '128.1', 'kills_per_round': '0.68', 'assists_per_round': '0.28', 'first_kills_per_round': '0.05', 'first_deaths_per_round': '0.06', 'headshot_percentage': '35%', 'clutch_success_percentage': '13%'}","['viper', 'omen', 'astra']",vct-game-changer
evv,FLY.R,1.01,Americas,"{'average_combat_score': '208.3', 'kill_deaths': '1.00', 'kill_assists_survived_traded': '74%', 'average_damage_per_round': '135.3', 'kills_per_round': '0.73', 'assists_per_round': '0.33', 'first_kills_per_round': '0.07', 'first_deaths_per_round': '0.07', 'headshot_percentage': '33%', 'clutch_success_percentage': '16%'}","['kayo', 'skye', 'sova']",vct-game-changer
lidyuh,DSG,1.01,Americas,"{'average_combat_score': '215.5', 'kill_deaths': '0.87', 'kill_assists_survived_traded': '76%', 'average_damage_per_round': '147.3', 'kills_per_round': '0.71', 'assists_per_round': '0.47', 'first_kills_per_round': '0.03', 'first_deaths_per_round': '0.00', 'headshot_percentage': '24%', 'clutch_success_percentage': ''}",['omen'],vct-game-changer
avery,FLOP,1.01,Americas,"{'average_combat_score': '184.7', 'kill_deaths': '0.96', 'kill_assists_survived_traded': '72%', 'average_damage_per_round': '123.0', 'kills_per_round': '0.65', 'assists_per_round': '0.37', 'first_kills_per_round': '0.06', 'first_deaths_per_round': '0.07', 'headshot_percentage': '24%', 'clutch_success_percentage': '18%'}","['gekko', 'breach', 'astra']",vct-game-changer
sonder,FLY.R,1.01,Americas,"{'average_combat_score': '212.8', 'kill_deaths': '0.98', 'kill_assists_survived_traded': '76%', 'average_damage_per_round': '134.7', 'kills_per_round': '0.72', 'assists_per_round': '0.49', 'first_kills_per_round': '0.11', 'first_deaths_per_round': '0.11', 'headshot_percentage': '25%', 'clutch_success_percentage': '15%'}","['skye', 'kayo', 'breach']",vct-game-changer
mili,RF.GC,1.00,Americas,"{'average_combat_score': '215.8', 'kill_deaths': '1.01', 'kill_assists_survived_traded': '74%', 'average_damage_per_round': '143.0', 'kills_per_round': '0.75', 'assists_per_round': '0.19', 'first_kills_per_round': '0.14', 'first_deaths_per_round': '0.11', 'headshot_percentage': '27%', 'clutch_success_percentage': '12%'}","['raze', 'jett', 'omen']",vct-game-changer
Sythrine,74,1.00,Americas,"{'average_combat_score': '225.5', 'kill_deaths': '0.94', 'kill_assists_survived_traded': '58%', 'average_damage_per_round': '150.3', 'kills_per_round': '0.80', 'assists_per_round': '0.16', 'first_kills_per_round': '0.15', 'first_deaths_per_round': '0.14', 'headshot_percentage': '32%', 'clutch_success_percentage': ''}","['jett', 'raze']",vct-game-changer
Australis,SaD,1.00,Americas,"{'average_combat_score': '199.6', 'kill_deaths': '0.94', 'kill_assists_survived_traded': '71%', 'average_damage_per_round': '136.5', 'kills_per_round': '0.71', 'assists_per_round': '0.35', 'first_kills_per_round': '0.09', 'first_deaths_per_round': '0.11', 'headshot_percentage': '23%', 'clutch_success_percentage': '14%'}","['kayo', 'fade', 'skye']",vct-game-changer
Battison,SaD,1.00,Americas,"{'average_combat_score': '217.5', 'kill_deaths': '0.99', 'kill_assists_survived_traded': '65%', 'average_damage_per_round': '147.3', 'kills_per_round': '0.76', 'assists_per_round': '0.23', 'first_kills_per_round': '0.13', 'first_deaths_per_round': '0.13', 'headshot_percentage': '33%', 'clutch_success_percentage': '16%'}","['gekko', 'sova', 'jett']",vct-game-changer
