average_combat_score,kill_deaths,kill_assists_survived_traded,average_damage_per_round,kills_per_round,assists_per_round,first_kills_per_round,first_deaths_per_round,headshot_percentage,clutch_success_percentage
85.5,0.32,33%,63.2,0.30,0.03,0.00,0.12,44%,
234.5,0.90,55%,142.6,0.82,0.15,0.12,0.12,22%,17%
162.5,0.77,58%,102.5,0.61,0.15,0.03,0.09,31%,11%
165.5,0.66,64%,108.0,0.58,0.21,0.00,0.12,34%,17%
173.0,0.63,58%,123.8,0.58,0.21,0.00,0.18,24%,
180.0,0.67,67%,108.4,0.61,0.15,0.21,0.18,32%,
137.0,0.53,52%,85.4,0.48,0.36,0.03,0.15,14%,
125.0,0.48,67%,81.3,0.39,0.48,0.00,0.03,24%,
96.0,0.22,42%,70.5,0.21,0.27,0.06,0.21,15%,
238.0,0.90,67%,164.9,0.82,0.21,0.09,0.09,28%,
199.5,0.73,55%,132.0,0.67,0.24,0.06,0.24,19%,40%
182.5,0.66,45%,121.2,0.58,0.21,0.06,0.09,27%,25%
148.0,0.50,61%,112.8,0.48,0.15,0.06,0.21,28%,
117.5,0.44,48%,78.6,0.42,0.09,0.03,0.15,54%,
186.5,0.72,53%,126.4,0.62,0.12,0.12,0.15,30%,
175.5,0.66,59%,125.3,0.56,0.35,0.09,0.29,30%,
153.0,0.62,50%,103.0,0.53,0.12,0.00,0.09,30%,
148.0,0.61,74%,89.7,0.50,0.47,0.00,0.09,27%,11%
162.0,0.57,65%,112.4,0.50,0.24,0.03,0.09,26%,
181.0,0.70,50%,119.5,0.62,0.29,0.09,0.12,28%,
170.0,0.66,65%,116.9,0.56,0.18,0.09,0.15,24%,25%
181.0,0.63,59%,116.5,0.59,0.26,0.03,0.12,21%,
136.5,0.50,59%,98.6,0.44,0.18,0.09,0.18,21%,
128.5,0.50,53%,97.6,0.44,0.18,0.00,0.15,36%,14%
139.5,0.50,47%,92.8,0.47,0.12,0.03,0.18,17%,
101.5,0.42,59%,66.6,0.38,0.15,0.06,0.21,22%,
228.0,0.86,59%,139.4,0.74,0.21,0.15,0.18,19%,
135.5,0.52,71%,91.3,0.41,0.21,0.00,0.03,18%,
183.0,0.64,44%,118.7,0.53,0.15,0.00,0.09,27%,
165.5,0.60,59%,99.7,0.53,0.09,0.26,0.24,31%,
279.5,1.50,74%,180.2,1.06,0.12,0.12,0.15,27%,50%
225.0,0.87,68%,155.1,0.76,0.21,0.15,0.24,22%,
237.0,0.97,74%,139.2,0.85,0.26,0.09,0.09,29%,
162.0,0.71,74%,104.4,0.59,0.24,0.00,0.06,25%,14%
140.5,0.52,62%,91.0,0.47,0.26,0.06,0.09,29%,
192.0,0.67,59%,110.5,0.65,0.18,0.26,0.21,24%,
147.5,0.53,71%,105.9,0.47,0.35,0.06,0.09,20%,50%
158.5,0.62,49%,113.3,0.51,0.20,0.06,0.29,23%,29%
113.5,0.43,51%,78.8,0.37,0.40,0.00,0.09,11%,11%
158.5,0.59,54%,100.6,0.54,0.34,0.14,0.14,33%,
153.5,0.60,63%,99.1,0.51,0.29,0.03,0.09,14%,17%
129.5,0.39,46%,85.9,0.37,0.23,0.09,0.17,27%,
170.0,0.75,51%,126.4,0.60,0.11,0.00,0.11,37%,25%
252.0,1.20,69%,181.7,0.86,0.17,0.11,0.09,31%,7%
189.0,0.83,69%,126.5,0.69,0.51,0.03,0.14,32%,
232.0,0.81,60%,139.1,0.71,0.20,0.09,0.20,19%,
176.0,0.82,54%,124.2,0.66,0.17,0.03,0.14,20%,
158.5,0.72,66%,108.1,0.60,0.23,0.06,0.09,33%,
194.5,0.77,63%,139.7,0.66,0.20,0.09,0.11,30%,25%
159.5,0.69,57%,97.6,0.57,0.29,0.09,0.11,29%,
136.5,0.62,43%,92.0,0.51,0.17,0.00,0.06,22%,44%
168.0,0.69,57%,125.0,0.57,0.11,0.09,0.03,27%,11%
119.5,0.50,63%,93.8,0.40,0.09,0.00,0.06,32%,
132.5,0.57,57%,87.5,0.49,0.03,0.17,0.20,16%,
134.0,0.52,49%,98.7,0.43,0.14,0.00,0.20,23%,
138.5,0.58,49%,94.8,0.54,0.06,0.20,0.23,35%,
121.0,0.33,54%,84.1,0.31,0.51,0.03,0.00,21%,
140.5,0.48,54%,82.9,0.46,0.11,0.06,0.17,21%,
101.5,0.27,37%,68.0,0.26,0.14,0.00,0.17,11%,17%
182.5,0.63,69%,120.6,0.56,0.36,0.17,0.19,33%,
245.5,1.27,75%,167.9,0.92,0.17,0.06,0.03,23%,21%
231.5,0.85,58%,149.5,0.78,0.08,0.14,0.08,41%,
156.5,0.69,61%,102.3,0.61,0.33,0.03,0.19,15%,33%
122.5,0.45,47%,97.4,0.42,0.17,0.08,0.14,27%,17%
94.5,0.39,50%,65.4,0.33,0.31,0.00,0.19,18%,
107.0,0.41,50%,74.6,0.36,0.08,0.14,0.22,19%,
134.0,0.68,53%,104.4,0.53,0.11,0.03,0.14,20%,
172.5,0.69,47%,111.8,0.61,0.28,0.03,0.08,33%,9%
141.0,0.67,58%,88.8,0.50,0.17,0.03,0.03,27%,
147.5,0.65,47%,117.9,0.56,0.17,0.08,0.36,32%,
120.0,0.50,64%,96.2,0.42,0.28,0.06,0.11,25%,
152.5,0.67,47%,98.1,0.56,0.06,0.03,0.11,36%,
138.0,0.55,44%,102.5,0.47,0.06,0.03,0.08,19%,11%
92.5,0.46,53%,63.7,0.33,0.19,0.06,0.06,35%,14%
152.0,0.52,58%,99.9,0.47,0.25,0.22,0.31,27%,
224.5,0.88,73%,145.8,0.78,0.30,0.08,0.08,31%,17%
226.5,1.00,68%,154.1,0.81,0.16,0.19,0.08,26%,
203.5,0.81,57%,145.3,0.70,0.11,0.05,0.08,31%,14%
170.0,0.66,54%,115.6,0.57,0.24,0.11,0.11,44%,
161.0,0.54,57%,101.6,0.51,0.19,0.14,0.30,22%,
184.5,0.84,68%,114.9,0.70,0.05,0.08,0.11,29%,
278.5,1.16,71%,180.6,0.95,0.21,0.26,0.08,38%,
220.5,0.81,61%,145.9,0.68,0.34,0.08,0.11,28%,
181.0,0.77,68%,121.0,0.63,0.26,0.08,0.00,40%,
186.5,0.77,71%,119.3,0.61,0.47,0.05,0.24,13%,25%
144.0,0.66,55%,101.5,0.50,0.32,0.05,0.08,29%,20%
166.0,0.70,68%,120.7,0.55,0.21,0.03,0.03,27%,20%
174.0,0.70,58%,114.2,0.61,0.21,0.13,0.03,32%,13%
166.5,0.83,47%,107.7,0.63,0.11,0.05,0.13,38%,33%
183.0,0.69,71%,130.6,0.58,0.29,0.08,0.11,23%,
158.0,0.72,61%,103.0,0.61,0.08,0.13,0.21,19%,
182.0,0.66,58%,117.5,0.61,0.21,0.21,0.11,16%,
130.0,0.52,63%,86.7,0.42,0.34,0.05,0.16,23%,
121.5,0.54,63%,85.8,0.39,0.26,0.05,0.18,21%,
83.0,0.34,42%,57.7,0.29,0.08,0.03,0.16,27%,25%
101.5,0.41,53%,66.9,0.34,0.18,0.03,0.13,14%,
219.5,1.03,66%,134.0,0.79,0.16,0.18,0.16,42%,10%
156.0,0.70,61%,108.8,0.55,0.18,0.05,0.08,26%,20%
189.0,0.77,63%,122.5,0.63,0.32,0.08,0.11,16%,
165.5,0.56,61%,115.6,0.47,0.21,0.08,0.16,17%,
194.0,1.81,74%,122.9,0.76,0.58,0.05,0.00,38%,25%
237.5,1.15,76%,154.8,0.82,0.29,0.05,0.05,29%,13%
183.5,1.14,89%,127.8,0.66,0.47,0.05,0.05,27%,25%
229.5,0.91,66%,147.4,0.76,0.21,0.13,0.21,28%,20%
151.5,1.00,82%,101.4,0.55,0.50,0.05,0.03,33%,33%
234.5,0.94,58%,157.6,0.82,0.05,0.05,0.16,41%,
204.5,1.00,76%,130.6,0.71,0.13,0.18,0.00,20%,
221.0,0.79,68%,140.8,0.68,0.21,0.03,0.16,22%,
196.5,0.73,71%,144.3,0.63,0.29,0.21,0.21,15%,33%
164.5,0.67,53%,110.7,0.58,0.16,0.08,0.11,25%,
149.0,0.59,74%,96.6,0.50,0.42,0.03,0.18,20%,
103.5,0.45,50%,63.7,0.37,0.29,0.08,0.03,35%,
134.0,0.47,50%,83.9,0.42,0.24,0.03,0.18,40%,17%
175.0,0.77,69%,112.8,0.59,0.15,0.05,0.03,28%,18%
186.0,0.69,59%,117.3,0.62,0.26,0.15,0.23,21%,
166.5,0.64,77%,105.7,0.54,0.49,0.13,0.10,16%,
130.5,0.55,56%,78.8,0.46,0.28,0.08,0.13,42%,
232.5,1.03,79%,157.1,0.85,0.18,0.18,0.10,21%,
214.0,1.00,59%,140.9,0.77,0.18,0.08,0.05,28%,
147.0,0.61,56%,105.2,0.49,0.21,0.05,0.05,18%,20%
100.0,0.50,62%,70.1,0.38,0.28,0.00,0.08,36%,
90.0,0.31,41%,59.3,0.28,0.10,0.05,0.10,34%,
259.0,1.19,60%,173.5,0.95,0.18,0.15,0.05,25%,33%
229.0,1.10,68%,150.3,0.83,0.10,0.08,0.05,35%,11%
131.5,0.69,68%,82.7,0.50,0.18,0.00,0.05,29%,
227.0,1.03,63%,139.9,0.78,0.18,0.08,0.05,23%,20%
219.0,0.97,63%,144.4,0.78,0.28,0.00,0.03,30%,33%
162.0,0.61,65%,111.7,0.50,0.50,0.10,0.10,32%,
182.0,0.69,50%,120.7,0.60,0.10,0.03,0.10,18%,
164.5,0.50,60%,112.0,0.40,0.40,0.03,0.10,13%,11%
192.0,0.74,55%,119.9,0.63,0.20,0.20,0.33,18%,
151.0,0.53,50%,106.1,0.48,0.30,0.05,0.23,18%,
224.5,0.97,56%,163.8,0.80,0.15,0.15,0.22,30%,25%
74.0,0.26,46%,55.8,0.22,0.17,0.02,0.24,23%,20%
164.5,0.65,60%,110.9,0.57,0.14,0.14,0.10,25%,50%
142.5,0.49,64%,101.8,0.43,0.40,0.07,0.10,22%,
180.0,0.79,74%,128.8,0.62,0.24,0.00,0.10,28%,
175.0,0.72,67%,113.6,0.62,0.12,0.07,0.24,21%,
230.0,1.00,67%,166.8,0.72,0.26,0.09,0.05,42%,
200.5,0.97,63%,118.6,0.72,0.07,0.12,0.23,30%,
113.5,0.44,53%,79.7,0.35,0.44,0.05,0.09,27%,17%
119.5,0.52,53%,80.6,0.40,0.16,0.07,0.16,33%,
199.5,1.00,70%,134.7,0.77,0.14,0.12,0.05,41%,13%
189.0,0.84,65%,137.6,0.63,0.26,0.07,0.19,27%,25%
170.5,0.77,56%,109.2,0.63,0.07,0.19,0.26,28%,67%
226.5,1.03,73%,149.0,0.77,0.18,0.18,0.18,26%,
205.5,0.88,70%,130.2,0.64,0.43,0.11,0.11,25%,14%
237.0,1.03,64%,148.4,0.80,0.14,0.16,0.20,24%,20%
169.5,0.84,61%,103.3,0.59,0.20,0.07,0.09,28%,50%
184.5,0.78,55%,120.1,0.66,0.07,0.07,0.14,18%,17%
115.5,0.50,68%,86.1,0.36,0.18,0.00,0.05,18%,
138.0,0.59,55%,96.0,0.50,0.18,0.02,0.05,41%,
158.0,0.56,52%,106.2,0.50,0.23,0.14,0.11,23%,
189.0,0.82,69%,123.7,0.69,0.24,0.11,0.09,39%,
261.5,1.13,70%,174.5,0.93,0.24,0.11,0.24,20%,50%
132.0,0.54,65%,94.7,0.41,0.54,0.00,0.11,37%,11%
160.3,0.60,60%,98.9,0.54,0.19,0.04,0.08,19%,
147.3,0.51,50%,90.2,0.50,0.19,0.04,0.25,24%,33%
104.7,0.30,60%,78.0,0.27,0.40,0.06,0.17,20%,
140.7,0.56,58%,88.6,0.48,0.15,0.06,0.06,27%,
232.0,0.89,57%,146.3,0.76,0.15,0.09,0.11,28%,13%
170.3,0.69,60%,124.6,0.60,0.18,0.13,0.16,37%,
197.3,1.03,60%,127.2,0.75,0.09,0.11,0.09,40%,
180.0,0.74,55%,127.9,0.62,0.11,0.11,0.16,40%,
162.7,0.59,58%,115.8,0.55,0.25,0.05,0.09,27%,
245.3,1.49,83%,163.9,0.90,0.47,0.16,0.00,23%,25%
273.7,1.35,86%,164.3,0.93,0.60,0.12,0.09,15%,
212.7,1.52,79%,130.3,0.76,0.24,0.07,0.07,27%,17%
165.3,0.73,59%,112.3,0.54,0.10,0.14,0.10,22%,
167.0,0.76,61%,108.8,0.59,0.25,0.08,0.08,27%,
165.3,0.67,63%,114.1,0.58,0.15,0.05,0.10,35%,
190.0,0.75,62%,133.5,0.64,0.11,0.18,0.08,18%,33%
151.7,0.56,59%,108.8,0.51,0.28,0.13,0.11,22%,
148.7,0.85,65%,110.8,0.53,0.19,0.05,0.06,23%,40%
266.7,1.15,75%,182.0,0.86,0.40,0.06,0.06,30%,21%
157.3,0.68,59%,114.9,0.54,0.33,0.03,0.14,21%,13%
133.3,0.59,62%,93.3,0.48,0.32,0.02,0.06,26%,
239.3,1.23,71%,161.6,0.84,0.27,0.13,0.10,25%,33%
223.0,1.11,68%,148.8,0.79,0.27,0.11,0.05,14%,11%
218.7,1.04,60%,134.2,0.83,0.06,0.13,0.13,23%,17%
181.3,0.85,56%,136.0,0.65,0.22,0.08,0.17,24%,38%
155.0,0.85,60%,108.3,0.56,0.24,0.05,0.10,33%,13%
148.0,0.64,62%,93.8,0.51,0.22,0.11,0.08,11%,
174.3,0.61,53%,118.1,0.53,0.19,0.08,0.27,26%,10%
155.3,0.49,56%,107.4,0.47,0.23,0.09,0.16,23%,
214.7,0.90,66%,142.9,0.73,0.20,0.08,0.14,32%,
177.7,0.74,73%,121.5,0.61,0.36,0.02,0.06,31%,15%
188.0,0.83,56%,128.5,0.67,0.28,0.16,0.31,27%,
154.7,0.76,66%,106.5,0.53,0.17,0.05,0.00,30%,18%
158.7,0.58,72%,101.8,0.48,0.58,0.06,0.16,21%,14%
199.0,0.86,,51.9,0.65,0.18,0.03,0.02,,
179.0,0.85,,44.4,0.63,0.40,0.14,0.00,,
208.3,1.02,65%,144.8,0.77,0.17,0.06,0.14,31%,
195.0,0.81,69%,124.3,0.66,0.23,0.06,0.11,33%,11%
143.3,0.64,65%,96.6,0.49,0.40,0.02,0.08,30%,17%
188.3,0.85,60%,116.3,0.60,0.24,0.03,0.07,27%,11%
198.5,0.81,60%,127.9,0.68,0.24,0.04,0.21,37%,8%
150.8,0.52,44%,103.5,0.49,0.13,0.07,0.16,27%,
142.8,0.54,51%,93.6,0.50,0.10,0.04,0.19,22%,
115.8,0.42,50%,83.1,0.37,0.21,0.07,0.18,25%,25%
219.3,1.04,70%,145.1,0.80,0.10,0.12,0.17,24%,18%
165.0,0.89,75%,116.8,0.58,0.52,0.06,0.03,24%,
160.8,0.67,61%,116.3,0.57,0.22,0.06,0.16,26%,25%
183.3,0.70,61%,123.4,0.61,0.20,0.07,0.13,29%,
152.0,0.68,72%,103.5,0.52,0.48,0.06,0.16,20%,27%
162.0,0.64,57%,113.0,0.57,0.14,0.10,0.26,25%,
204.3,1.02,66%,144.1,0.69,0.34,0.10,0.07,21%,
182.0,0.94,72%,123.6,0.66,0.28,0.06,0.03,32%,21%
216.0,0.91,63%,137.5,0.72,0.20,0.15,0.11,22%,17%
141.3,0.65,69%,92.7,0.48,0.39,0.06,0.10,25%,17%
202.3,0.83,60%,131.0,0.72,0.10,0.11,0.24,38%,14%
189.3,0.83,64%,123.8,0.68,0.19,0.14,0.04,25%,8%
135.5,0.55,50%,95.4,0.49,0.18,0.08,0.26,22%,10%
154.3,0.66,53%,95.9,0.56,0.18,0.04,0.10,26%,13%
213.0,0.81,66%,138.0,0.68,0.20,0.14,0.11,22%,
140.5,0.67,54%,100.5,0.54,0.08,0.03,0.04,39%,17%
139.0,0.56,57%,96.7,0.47,0.30,0.04,0.14,31%,18%
134.3,0.80,71%,102.2,0.54,0.26,0.04,0.01,30%,
139.0,0.68,57%,89.5,0.45,0.12,0.03,0.08,32%,10%
188.0,0.77,59%,120.1,0.64,0.22,0.14,0.12,31%,17%
174.3,0.75,62%,118.9,0.59,0.24,0.15,0.13,22%,14%
188.5,1.00,70%,121.0,0.68,0.51,0.03,0.05,27%,
228.5,1.02,76%,155.4,0.75,0.26,0.14,0.10,18%,
167.3,0.84,67%,108.2,0.59,0.38,0.08,0.06,36%,
151.8,0.62,57%,100.4,0.48,0.19,0.08,0.11,23%,8%
184.1,0.72,62%,126.7,0.62,0.17,0.14,0.20,16%,6%
203.0,0.85,74%,124.4,0.66,0.37,0.09,0.03,21%,13%
160.4,0.73,61%,116.7,0.59,0.17,0.07,0.12,21%,
236.2,1.01,62%,157.2,0.81,0.17,0.14,0.12,30%,9%
209.8,0.80,68%,140.3,0.70,0.20,0.22,0.20,29%,17%
184.6,0.75,66%,121.6,0.60,0.23,0.09,0.08,20%,
168.2,0.75,63%,107.8,0.59,0.24,0.09,0.10,28%,25%
167.0,0.78,57%,105.6,0.60,0.10,0.17,0.25,25%,
154.0,0.57,67%,108.4,0.45,0.34,0.05,0.08,23%,
231.4,0.98,69%,158.2,0.82,0.14,0.23,0.15,24%,
162.8,0.79,70%,103.9,0.56,0.52,0.04,0.05,20%,28%
214.2,1.13,70%,127.9,0.76,0.19,0.07,0.06,30%,9%
221.0,0.91,70%,139.9,0.74,0.29,0.16,0.21,26%,
223.3,0.83,60%,156.5,0.74,0.18,0.23,0.17,19%,
208.3,0.98,70%,144.7,0.73,0.23,0.05,0.08,20%,33%
212.8,1.03,65%,142.7,0.75,0.21,0.12,0.08,34%,10%
152.0,0.66,70%,102.9,0.51,0.38,0.03,0.07,23%,13%
205.8,0.90,64%,137.2,0.72,0.12,0.18,0.23,27%,12%
195.5,1.18,76%,133.5,0.72,0.23,0.09,0.07,37%,15%
129.4,0.49,61%,83.5,0.41,0.32,0.04,0.11,30%,5%
226.9,0.94,57%,141.5,0.76,0.15,0.20,0.19,23%,14%
199.4,0.86,63%,136.3,0.68,0.18,0.11,0.19,25%,5%
239.3,1.01,69%,158.6,0.83,0.17,0.16,0.18,29%,14%
161.6,0.83,69%,109.4,0.56,0.31,0.04,0.06,21%,16%
150.6,0.73,70%,96.7,0.52,0.47,0.05,0.11,19%,13%
251.7,1.03,70%,166.9,0.86,0.14,0.14,0.14,32%,6%
199.3,0.93,62%,140.4,0.70,0.17,0.08,0.12,25%,26%
170.7,0.78,68%,115.8,0.61,0.31,0.06,0.07,33%,
167.3,0.71,61%,109.5,0.59,0.14,0.15,0.20,26%,17%
148.8,0.62,62%,100.4,0.50,0.26,0.07,0.10,30%,6%
209.9,0.93,62%,140.8,0.71,0.13,0.13,0.14,19%,15%
217.4,0.94,67%,137.4,0.75,0.19,0.21,0.21,23%,19%
198.6,1.02,67%,136.1,0.70,0.21,0.06,0.09,34%,17%
181.3,0.77,64%,121.5,0.60,0.34,0.07,0.08,30%,3%
206.6,0.99,61%,134.4,0.75,0.12,0.15,0.16,23%,18%
178.7,1.05,73%,104.9,0.68,0.16,0.11,0.10,26%,
185.3,0.98,64%,130.1,0.67,0.09,0.08,0.08,28%,4%
220.3,1.02,66%,141.3,0.78,0.10,0.19,0.16,27%,14%
225.0,1.16,69%,145.3,0.80,0.12,0.17,0.16,29%,7%
166.4,0.92,75%,105.5,0.61,0.41,0.05,0.08,23%,9%
218.8,0.93,69%,133.9,0.78,0.16,0.03,0.03,23%,7%
181.8,0.87,66%,122.3,0.66,0.14,0.07,0.09,37%,3%
182.4,0.83,73%,117.0,0.66,0.28,0.09,0.08,33%,
145.8,0.60,63%,96.3,0.51,0.31,0.01,0.08,24%,15%
130.4,0.68,66%,88.3,0.50,0.28,0.01,0.14,38%,8%
108.3,0.36,52%,76.7,0.31,0.17,0.06,0.09,14%,13%
139.0,0.64,62%,102.0,0.50,0.36,0.03,0.05,23%,
255.6,1.18,71%,169.4,0.89,0.18,0.24,0.21,32%,6%
237.6,1.14,73%,157.1,0.86,0.17,0.10,0.04,31%,6%
201.2,1.09,75%,135.9,0.70,0.35,0.09,0.07,33%,12%
213.3,0.99,69%,144.7,0.76,0.20,0.08,0.06,35%,10%
214.3,1.05,68%,142.2,0.75,0.19,0.12,0.15,28%,13%
198.7,0.94,68%,130.3,0.69,0.29,0.08,0.12,30%,20%
185.4,0.88,66%,123.7,0.64,0.20,0.11,0.09,24%,12%
169.1,0.76,73%,109.6,0.55,0.45,0.07,0.08,25%,8%
198.4,0.85,73%,133.8,0.69,0.20,0.11,0.10,32%,17%
184.4,0.85,60%,123.1,0.63,0.11,0.10,0.12,31%,
161.9,0.75,64%,102.1,0.57,0.38,0.03,0.09,24%,14%
173.6,0.78,63%,115.8,0.62,0.28,0.06,0.11,27%,10%
165.5,0.78,66%,110.8,0.58,0.36,0.05,0.07,30%,17%
165.1,0.81,64%,111.7,0.60,0.17,0.07,0.08,31%,
168.4,0.79,64%,114.1,0.59,0.30,0.07,0.11,30%,17%
157.4,0.72,61%,108.7,0.55,0.20,0.05,0.11,28%,18%
189.0,0.75,59%,128.1,0.63,0.21,0.08,0.13,19%,6%
135.3,0.54,65%,90.1,0.45,0.24,0.05,0.11,24%,7%
217.4,0.93,63%,138.5,0.73,0.20,0.17,0.08,27%,5%
154.2,0.72,64%,99.6,0.55,0.32,0.04,0.11,32%,14%
204.4,1.01,69%,136.2,0.74,0.30,0.06,0.04,28%,9%
191.2,0.94,70%,128.4,0.69,0.36,0.07,0.05,41%,10%
188.5,1.02,72%,124.8,0.68,0.17,0.08,0.05,31%,10%
213.9,0.99,69%,137.2,0.77,0.23,0.14,0.15,28%,36%
186.9,0.82,69%,122.2,0.65,0.36,0.11,0.10,33%,8%
172.5,0.76,67%,117.2,0.57,0.32,0.07,0.09,30%,11%
176.4,0.73,56%,111.7,0.61,0.19,0.08,0.06,29%,10%
179.4,0.81,66%,120.2,0.64,0.30,0.09,0.12,25%,11%
185.3,0.70,63%,124.8,0.60,0.25,0.12,0.21,25%,22%
155.2,0.62,62%,106.3,0.52,0.28,0.08,0.11,35%,
204.4,1.10,73%,137.1,0.72,0.28,0.09,0.08,24%,15%
210.5,0.94,73%,134.6,0.72,0.33,0.09,0.06,25%,10%
197.0,0.84,64%,131.6,0.69,0.16,0.15,0.12,26%,16%
187.3,0.78,66%,123.0,0.61,0.33,0.10,0.08,32%,19%
171.9,0.78,63%,115.9,0.60,0.14,0.06,0.11,31%,4%
167.6,0.68,60%,111.1,0.58,0.16,0.08,0.14,27%,8%
157.4,0.67,64%,107.8,0.54,0.27,0.09,0.13,26%,3%
188.8,0.82,70%,121.4,0.64,0.28,0.08,0.07,33%,12%
225.3,1.16,76%,142.6,0.79,0.40,0.11,0.10,27%,17%
193.1,0.89,62%,125.7,0.66,0.28,0.05,0.11,31%,8%
201.8,0.93,69%,132.6,0.71,0.18,0.14,0.14,26%,18%
176.5,0.81,75%,113.6,0.63,0.35,0.04,0.13,24%,
213.6,0.88,63%,148.0,0.73,0.20,0.11,0.15,24%,18%
199.5,0.81,64%,130.3,0.69,0.14,0.06,0.14,24%,20%
179.0,0.82,56%,122.1,0.65,0.22,0.09,0.16,36%,11%
159.5,0.59,53%,100.1,0.53,0.33,0.03,0.08,21%,13%
191.0,1.02,71%,129.5,0.70,0.21,0.06,0.07,32%,9%
162.6,0.72,66%,118.9,0.54,0.26,0.01,0.04,37%,7%
147.1,0.63,59%,97.3,0.49,0.25,0.06,0.08,20%,12%
231.7,1.07,67%,149.9,0.81,0.17,0.13,0.14,28%,17%
186.0,0.78,71%,125.8,0.61,0.47,0.07,0.05,25%,6%
157.4,0.79,67%,105.5,0.55,0.17,0.09,0.09,18%,5%
167.0,0.75,71%,115.8,0.59,0.24,0.02,0.07,40%,
172.8,0.78,71%,118.7,0.59,0.28,0.10,0.08,36%,38%
182.6,0.93,67%,123.3,0.66,0.20,0.07,0.07,28%,13%
207.4,1.16,69%,145.1,0.81,0.14,0.06,0.08,28%,9%
180.6,0.80,61%,126.0,0.63,0.28,0.07,0.13,28%,7%
136.0,0.44,67%,91.0,0.42,0.33,0.09,0.06,25%,
209.7,1.13,71%,137.0,0.73,0.27,0.11,0.10,29%,12%
219.5,1.09,69%,147.2,0.77,0.18,0.15,0.14,26%,10%
196.1,1.01,73%,127.5,0.66,0.44,0.10,0.07,26%,15%
194.1,0.99,71%,128.8,0.68,0.30,0.08,0.12,29%,11%
194.0,0.92,67%,130.8,0.68,0.32,0.11,0.11,39%,10%
168.1,0.80,72%,109.0,0.57,0.36,0.09,0.09,26%,3%
188.3,0.81,57%,125.1,0.67,0.17,0.11,0.17,32%,10%
146.6,0.64,63%,97.7,0.51,0.30,0.05,0.09,33%,8%
157.3,0.54,55%,108.3,0.49,0.25,0.11,0.25,25%,33%
190.8,0.95,66%,127.8,0.72,0.14,0.06,0.08,35%,11%
162.8,0.84,68%,115.3,0.58,0.22,0.05,0.06,21%,14%
198.8,1.02,74%,130.4,0.71,0.36,0.09,0.09,30%,13%
215.9,1.00,66%,144.2,0.74,0.25,0.07,0.10,25%,16%
242.6,1.06,66%,155.9,0.84,0.15,0.21,0.17,31%,17%
188.3,1.03,71%,121.6,0.68,0.21,0.07,0.08,30%,16%
181.8,0.95,72%,119.4,0.65,0.34,0.08,0.07,33%,15%
215.4,0.97,72%,137.0,0.73,0.21,0.14,0.17,11%,22%
189.1,0.84,65%,123.6,0.66,0.32,0.11,0.13,26%,11%
119.0,0.50,60%,81.0,0.45,0.05,0.05,0.05,15%,14%
185.3,0.80,63%,131.9,0.62,0.37,0.05,0.06,23%,20%
154.7,0.65,65%,107.2,0.54,0.19,0.14,0.08,32%,17%
166.5,0.84,67%,109.7,0.60,0.23,0.07,0.05,33%,
164.0,0.68,,112.5,0.55,0.31,0.05,0.12,,
199.5,0.91,,131.2,0.69,0.26,0.07,0.12,,
152.5,0.83,74%,100.4,0.53,0.39,0.02,0.03,23%,10%
228.3,0.99,63%,146.1,0.82,0.10,0.17,0.14,35%,18%
173.6,0.83,68%,115.1,0.64,0.21,0.06,0.08,33%,17%
173.8,0.70,65%,118.7,0.56,0.29,0.10,0.13,18%,9%
158.8,0.68,63%,105.6,0.54,0.29,0.04,0.06,26%,6%
148.5,0.50,53%,108.3,0.45,0.29,0.00,0.11,31%,
205.6,1.00,70%,137.6,0.74,0.22,0.10,0.12,43%,12%
200.9,0.93,70%,137.6,0.70,0.18,0.12,0.15,28%,
167.5,0.88,69%,113.7,0.61,0.25,0.05,0.08,29%,18%
172.9,0.83,68%,114.5,0.60,0.21,0.08,0.10,28%,18%
174.1,0.77,68%,121.2,0.57,0.27,0.10,0.10,31%,9%
185.8,0.79,68%,125.2,0.63,0.18,0.18,0.19,31%,18%
175.3,0.70,68%,108.3,0.62,0.45,0.08,0.02,24%,20%
116.5,0.32,,76.3,0.29,0.46,0.06,0.14,,
190.0,0.86,,126.6,0.62,0.26,0.06,0.10,,
165.5,0.71,,112.6,0.56,0.35,0.08,0.11,,
215.4,1.04,,148.7,0.79,0.18,0.15,0.16,,
176.0,0.72,,121.5,0.62,0.16,0.06,0.17,,
166.9,0.81,,120.2,0.61,0.22,0.06,0.08,,
178.7,0.82,,123.7,0.62,0.37,0.11,0.05,,
171.7,1.08,68%,110.7,0.66,0.16,0.06,0.03,41%,9%
298.0,1.48,74%,185.9,1.03,0.36,0.13,0.03,35%,15%
233.7,1.19,75%,151.8,0.81,0.35,0.10,0.10,28%,15%
210.4,1.07,73%,138.2,0.73,0.29,0.06,0.08,34%,14%
230.5,1.07,72%,146.7,0.79,0.17,0.13,0.17,15%,15%
188.3,1.01,73%,121.3,0.65,0.43,0.07,0.09,31%,22%
172.9,0.87,67%,115.1,0.62,0.30,0.10,0.09,29%,10%
156.5,0.83,69%,102.8,0.58,0.37,0.03,0.08,24%,12%
184.5,0.71,64%,134.1,0.60,0.29,0.00,0.11,22%,
193.0,1.04,73%,126.5,0.69,0.38,0.08,0.07,38%,36%
225.6,1.10,75%,146.3,0.78,0.32,0.04,0.06,19%,11%
