average_combat_score,kill_deaths,kill_assists_survived_traded,average_damage_per_round,kills_per_round,assists_per_round,first_kills_per_round,first_deaths_per_round,headshot_percentage,clutch_success_percentage
272.5,1.13,71%,167.3,0.92,0.39,0.08,0.03,16%,11%
257.5,1.18,67%,163.3,0.87,0.22,0.09,0.11,17%,25%
225.5,1.14,60%,130.2,0.83,0.28,0.05,0.08,28%,25%
220.5,1.12,81%,135.1,0.78,0.35,0.08,0.05,28%,9%
213.0,1.19,66%,145.8,0.78,0.32,0.10,0.08,29%,21%
224.6,1.20,79%,144.4,0.77,0.51,0.09,0.07,20%,22%
215.1,1.20,78%,139.9,0.76,0.34,0.08,0.05,32%,13%
228.9,1.27,76%,143.1,0.84,0.24,0.16,0.10,32%,18%
215.3,1.24,75%,142.6,0.77,0.21,0.09,0.07,20%,17%
224.8,1.18,77%,144.6,0.77,0.33,0.11,0.11,25%,22%
244.5,1.00,68%,165.3,0.82,0.26,0.11,0.08,30%,
222.0,1.03,63%,144.0,0.77,0.40,0.16,0.16,20%,
208.7,1.12,78%,132.2,0.71,0.46,0.11,0.09,27%,18%
207.3,1.01,66%,146.2,0.75,0.21,0.07,0.07,28%,16%
205.1,1.19,75%,137.7,0.72,0.23,0.08,0.08,27%,17%
206.4,1.07,74%,136.5,0.72,0.35,0.06,0.07,25%,18%
243.8,0.97,66%,153.8,0.80,0.38,0.18,0.13,27%,8%
219.0,1.05,73%,145.6,0.75,0.34,0.08,0.07,27%,14%
221.4,1.05,70%,147.8,0.78,0.28,0.06,0.09,26%,23%
175.1,1.06,78%,111.1,0.63,0.53,0.06,0.05,31%,20%
217.7,1.10,71%,145.1,0.79,0.22,0.07,0.06,29%,12%
228.7,1.14,64%,149.5,0.81,0.14,0.16,0.20,27%,15%
210.6,1.03,73%,137.1,0.74,0.36,0.09,0.09,30%,29%
217.2,1.10,71%,147.2,0.74,0.23,0.13,0.13,21%,22%
213.6,1.06,71%,144.1,0.78,0.21,0.10,0.09,32%,10%
211.3,1.11,73%,140.5,0.74,0.26,0.09,0.09,26%,15%
206.7,1.08,70%,124.2,0.76,0.42,0.10,0.05,24%,5%
230.0,1.03,70%,161.9,0.83,0.22,0.11,0.13,37%,
216.2,1.02,68%,140.8,0.73,0.27,0.10,0.10,31%,13%
201.5,0.84,74%,135.1,0.69,0.46,0.07,0.05,40%,24%
204.8,1.03,70%,134.7,0.73,0.27,0.10,0.09,41%,18%
213.1,1.02,76%,136.3,0.74,0.31,0.10,0.08,28%,11%
199.1,1.01,75%,130.3,0.73,0.34,0.06,0.07,31%,16%
213.2,0.96,65%,140.2,0.75,0.29,0.11,0.11,38%,12%
191.3,1.00,74%,127.9,0.67,0.36,0.08,0.07,34%,18%
185.0,1.00,67%,128.1,0.65,0.29,0.05,0.15,32%,19%
221.3,1.04,73%,141.9,0.78,0.40,0.04,0.10,26%,
203.6,0.92,66%,138.3,0.71,0.23,0.07,0.06,31%,16%
232.5,0.84,58%,149.3,0.75,0.13,0.06,0.11,32%,12%
250.0,1.06,68%,155.2,0.85,0.17,0.29,0.24,27%,
202.2,1.03,72%,131.6,0.70,0.32,0.09,0.09,30%,12%
189.3,0.98,70%,128.1,0.68,0.28,0.05,0.06,35%,13%
208.3,1.00,74%,135.3,0.73,0.33,0.07,0.07,33%,16%
215.5,0.87,76%,147.3,0.71,0.47,0.03,0.00,24%,
184.7,0.96,72%,123.0,0.65,0.37,0.06,0.07,24%,18%
212.8,0.98,76%,134.7,0.72,0.49,0.11,0.11,25%,15%
215.8,1.01,74%,143.0,0.75,0.19,0.14,0.11,27%,12%
225.5,0.94,58%,150.3,0.80,0.16,0.15,0.14,32%,
199.6,0.94,71%,136.5,0.71,0.35,0.09,0.11,23%,14%
217.5,0.99,65%,147.3,0.76,0.23,0.13,0.13,33%,16%
190.0,1.00,60%,118.5,0.74,0.16,0.00,0.05,19%,10%
182.9,0.97,73%,120.0,0.64,0.41,0.07,0.06,22%,15%
172.8,0.93,71%,112.9,0.64,0.33,0.06,0.08,25%,17%
174.6,0.90,72%,115.9,0.61,0.35,0.06,0.07,24%,11%
197.8,0.83,60%,131.6,0.66,0.19,0.03,0.07,22%,9%
209.3,0.94,65%,139.0,0.74,0.23,0.09,0.12,31%,11%
203.9,0.86,66%,134.9,0.68,0.26,0.10,0.09,23%,5%
192.7,0.92,70%,133.3,0.67,0.28,0.08,0.10,29%,16%
194.8,0.76,59%,129.6,0.62,0.25,0.07,0.11,15%,6%
236.6,0.96,67%,156.9,0.79,0.21,0.21,0.22,28%,10%
201.6,0.97,68%,140.7,0.73,0.14,0.11,0.13,33%,31%
215.8,0.78,56%,145.1,0.71,0.17,0.10,0.15,33%,25%
233.5,0.86,58%,146.8,0.77,0.19,0.16,0.10,48%,25%
196.0,0.90,59%,138.7,0.71,0.22,0.10,0.07,34%,14%
198.0,0.90,61%,123.8,0.71,0.18,0.08,0.24,31%,
187.7,0.94,68%,125.5,0.66,0.22,0.14,0.16,28%,14%
228.0,0.86,67%,143.0,0.75,0.17,0.09,0.12,23%,
229.9,0.87,66%,145.5,0.75,0.13,0.17,0.22,24%,12%
216.4,0.97,72%,138.2,0.75,0.25,0.12,0.14,33%,9%
177.1,0.93,69%,123.3,0.67,0.18,0.04,0.10,34%,20%
173.5,0.84,73%,121.3,0.60,0.36,0.04,0.06,23%,14%
193.5,0.93,66%,127.7,0.68,0.18,0.10,0.09,23%,13%
167.1,0.83,72%,109.6,0.58,0.44,0.06,0.07,25%,13%
217.1,0.96,66%,142.2,0.76,0.15,0.16,0.18,28%,16%
236.9,0.99,69%,144.6,0.80,0.21,0.19,0.23,19%,17%
198.5,0.92,68%,130.2,0.71,0.16,0.10,0.12,19%,22%
186.3,0.90,71%,125.1,0.66,0.22,0.09,0.07,27%,18%
196.0,0.90,72%,126.8,0.67,0.33,0.07,0.07,25%,15%
167.0,0.83,64%,115.5,0.61,0.18,0.03,0.06,31%,10%
227.0,0.89,70%,136.4,0.79,0.16,0.28,0.19,25%,
198.6,0.85,67%,128.5,0.68,0.35,0.09,0.14,23%,14%
208.7,0.88,63%,141.6,0.72,0.23,0.14,0.19,32%,6%
179.8,0.83,71%,117.5,0.65,0.34,0.05,0.05,40%,8%
204.4,0.87,60%,137.5,0.72,0.12,0.15,0.18,28%,8%
208.5,0.87,61%,127.4,0.79,0.24,0.03,0.00,23%,
225.2,0.93,59%,150.9,0.79,0.13,0.19,0.21,31%,10%
203.4,0.92,66%,135.6,0.72,0.13,0.15,0.17,27%,15%
203.5,0.79,68%,115.1,0.71,0.16,0.06,0.10,26%,
191.5,0.80,60%,113.4,0.67,0.23,0.17,0.13,39%,
174.4,0.88,71%,113.7,0.61,0.29,0.07,0.07,28%,19%
162.4,0.90,62%,116.6,0.60,0.12,0.04,0.07,35%,23%
195.1,0.86,63%,127.1,0.69,0.30,0.13,0.13,26%,16%
231.7,0.87,60%,150.1,0.77,0.17,0.22,0.23,28%,7%
206.3,0.78,60%,131.6,0.69,0.21,0.10,0.16,25%,
158.2,0.83,73%,103.8,0.55,0.39,0.06,0.10,25%,18%
177.2,0.88,68%,118.0,0.63,0.24,0.10,0.11,35%,10%
189.8,0.82,59%,132.6,0.68,0.11,0.15,0.17,29%,7%
163.3,0.73,61%,109.8,0.56,0.35,0.03,0.07,17%,12%
222.2,0.99,65%,142.6,0.78,0.14,0.17,0.24,33%,
199.5,0.90,71%,131.6,0.68,0.20,0.07,0.07,33%,
181.5,0.82,68%,105.9,0.68,0.27,0.07,0.10,16%,27%
197.0,0.70,54%,129.5,0.66,0.23,0.17,0.17,25%,
212.0,0.81,60%,138.9,0.73,0.13,0.07,0.30,51%,50%
170.6,0.74,60%,119.3,0.60,0.12,0.03,0.02,17%,6%
185.3,0.75,59%,128.9,0.63,0.18,0.08,0.15,22%,15%
178.5,0.77,68%,117.2,0.61,0.35,0.07,0.10,23%,13%
183.2,0.85,61%,122.0,0.66,0.14,0.07,0.07,32%,8%
215.7,0.87,62%,141.1,0.74,0.13,0.18,0.17,20%,17%
164.0,0.73,61%,119.1,0.57,0.21,0.03,0.06,22%,11%
175.5,0.81,62%,107.5,0.68,0.11,0.11,0.19,34%,
191.0,0.84,65%,127.7,0.66,0.21,0.13,0.17,24%,16%
197.2,0.84,66%,128.9,0.65,0.24,0.14,0.08,21%,
168.0,0.78,70%,111.7,0.58,0.44,0.02,0.05,37%,13%
185.5,0.83,78%,127.7,0.60,0.25,0.20,0.18,20%,
179.6,0.85,64%,122.2,0.64,0.16,0.08,0.12,23%,10%
160.5,0.67,58%,113.1,0.52,0.32,0.07,0.07,24%,5%
184.0,0.80,61%,125.7,0.60,0.21,0.07,0.10,25%,18%
182.3,0.74,61%,120.0,0.61,0.30,0.08,0.11,27%,10%
191.4,0.79,63%,133.6,0.67,0.11,0.09,0.05,31%,7%
143.9,0.72,68%,97.0,0.50,0.35,0.02,0.04,26%,8%
186.0,0.84,66%,123.2,0.68,0.21,0.13,0.12,25%,17%
178.1,0.81,66%,121.1,0.62,0.19,0.08,0.09,24%,21%
152.0,0.72,68%,96.4,0.58,0.35,0.03,0.05,24%,17%
197.4,0.84,66%,129.5,0.68,0.21,0.08,0.07,23%,7%
158.5,0.67,65%,101.2,0.53,0.26,0.03,0.09,38%,17%
187.0,0.67,42%,124.1,0.58,0.13,0.10,0.13,24%,
171.1,0.75,69%,113.2,0.58,0.35,0.09,0.14,22%,17%
191.4,0.84,66%,123.2,0.68,0.19,0.12,0.17,21%,20%
216.5,0.81,58%,146.2,0.72,0.14,0.19,0.17,24%,
184.2,0.74,61%,127.4,0.64,0.13,0.08,0.07,24%,
164.2,0.77,66%,114.4,0.59,0.31,0.04,0.07,32%,8%
199.5,0.87,63%,131.3,0.69,0.20,0.18,0.18,30%,18%
175.2,0.75,67%,116.0,0.59,0.33,0.09,0.13,28%,6%
166.2,0.70,62%,115.7,0.54,0.32,0.05,0.04,29%,13%
140.3,0.67,67%,88.2,0.48,0.35,0.03,0.05,21%,6%
146.8,0.74,69%,90.7,0.53,0.49,0.03,0.07,17%,18%
192.5,0.75,58%,126.0,0.62,0.15,0.09,0.11,25%,5%
165.4,0.79,68%,108.7,0.57,0.27,0.09,0.11,26%,11%
184.0,0.82,61%,117.3,0.64,0.06,0.14,0.17,40%,
160.9,0.72,64%,110.7,0.55,0.25,0.07,0.06,33%,4%
158.4,0.70,73%,105.7,0.53,0.37,0.07,0.04,18%,5%
