playerName,team,rating,region,playerStatistics,agent,playerCategory
hiro,FNC,1.05,EMEA,"{'average_combat_score': '190.6', 'kill_deaths': '1.10', 'kill_assists_survived_traded': '72%', 'average_damage_per_round': '123.5', 'kills_per_round': '0.69', 'assists_per_round': '0.31', 'first_kills_per_round': '0.07', 'first_deaths_per_round': '0.09', 'headshot_percentage': '29%', 'clutch_success_percentage': '23%'}","['sova', 'gekko', 'fade']",vct-international
ardiis,NAVI,1.05,EMEA,"{'average_combat_score': '212.0', 'kill_deaths': '1.04', 'kill_assists_survived_traded': '72%', 'average_damage_per_round': '139.4', 'kills_per_round': '0.77', 'assists_per_round': '0.33', 'first_kills_per_round': '0.13', 'first_deaths_per_round': '0.12', 'headshot_percentage': '22%', 'clutch_success_percentage': '21%'}","['kayo', 'jett', 'yoru']",vct-international
MrFaliN,FUT,1.04,EMEA,"{'average_combat_score': '191.0', 'kill_deaths': '0.96', 'kill_assists_survived_traded': '74%', 'average_damage_per_round': '125.5', 'kills_per_round': '0.66', 'assists_per_round': '0.42', 'first_kills_per_round': '0.08', 'first_deaths_per_round': '0.09', 'headshot_percentage': '22%', 'clutch_success_percentage': '16%'}","['skye', 'sova', 'omen']",vct-international
nukkye,GX,1.04,EMEA,"{'average_combat_score': '202.2', 'kill_deaths': '0.99', 'kill_assists_survived_traded': '73%', 'average_damage_per_round': '137.4', 'kills_per_round': '0.69', 'assists_per_round': '0.30', 'first_kills_per_round': '0.10', 'first_deaths_per_round': '0.06', 'headshot_percentage': '29%', 'clutch_success_percentage': '8%'}","['cypher', 'sage', 'killjoy']",vct-international
Shao,NAVI,1.04,EMEA,"{'average_combat_score': '191.8', 'kill_deaths': '1.01', 'kill_assists_survived_traded': '74%', 'average_damage_per_round': '129.5', 'kills_per_round': '0.68', 'assists_per_round': '0.37', 'first_kills_per_round': '0.08', 'first_deaths_per_round': '0.08', 'headshot_percentage': '31%', 'clutch_success_percentage': '20%'}","['brimstone', 'omen', 'viper']",vct-international
purp0,GX,1.04,EMEA,"{'average_combat_score': '217.2', 'kill_deaths': '1.04', 'kill_assists_survived_traded': '69%', 'average_damage_per_round': '144.5', 'kills_per_round': '0.76', 'assists_per_round': '0.16', 'first_kills_per_round': '0.19', 'first_deaths_per_round': '0.15', 'headshot_percentage': '34%', 'clutch_success_percentage': '6%'}","['jett', 'raze', 'yoru']",vct-international
Cloud,GX,1.02,EMEA,"{'average_combat_score': '200.9', 'kill_deaths': '0.99', 'kill_assists_survived_traded': '72%', 'average_damage_per_round': '135.6', 'kills_per_round': '0.70', 'assists_per_round': '0.32', 'first_kills_per_round': '0.07', 'first_deaths_per_round': '0.07', 'headshot_percentage': '24%', 'clutch_success_percentage': '13%'}","['breach', 'fade', 'skye']",vct-international
nAts,TL,1.01,EMEA,"{'average_combat_score': '210.2', 'kill_deaths': '1.07', 'kill_assists_survived_traded': '72%', 'average_damage_per_round': '138.7', 'kills_per_round': '0.75', 'assists_per_round': '0.25', 'first_kills_per_round': '0.09', 'first_deaths_per_round': '0.10', 'headshot_percentage': '29%', 'clutch_success_percentage': '12%'}","['cypher', 'viper', 'killjoy']",vct-international
QutionerX,EF,1.01,EMEA,"{'average_combat_score': '235.9', 'kill_deaths': '1.02', 'kill_assists_survived_traded': '71%', 'average_damage_per_round': '155.0', 'kills_per_round': '0.81', 'assists_per_round': '0.19', 'first_kills_per_round': '0.21', 'first_deaths_per_round': '0.15', 'headshot_percentage': '26%', 'clutch_success_percentage': '10%'}","['raze', 'jett', 'neon']",vct-international
MiniBoo,TH,1.01,EMEA,"{'average_combat_score': '221.1', 'kill_deaths': '1.03', 'kill_assists_survived_traded': '71%', 'average_damage_per_round': '144.2', 'kills_per_round': '0.76', 'assists_per_round': '0.22', 'first_kills_per_round': '0.17', 'first_deaths_per_round': '0.17', 'headshot_percentage': '30%', 'clutch_success_percentage': '17%'}","['neon', 'yoru', 'raze']",vct-international
SUYGETSU,NAVI,1.00,EMEA,"{'average_combat_score': '184.9', 'kill_deaths': '1.01', 'kill_assists_survived_traded': '72%', 'average_damage_per_round': '125.7', 'kills_per_round': '0.66', 'assists_per_round': '0.21', 'first_kills_per_round': '0.07', 'first_deaths_per_round': '0.06', 'headshot_percentage': '33%', 'clutch_success_percentage': '12%'}","['viper', 'cypher', 'killjoy']",vct-international
qRaxs,FUT,1.00,EMEA,"{'average_combat_score': '186.5', 'kill_deaths': '0.97', 'kill_assists_survived_traded': '73%', 'average_damage_per_round': '121.7', 'kills_per_round': '0.67', 'assists_per_round': '0.35', 'first_kills_per_round': '0.06', 'first_deaths_per_round': '0.06', 'headshot_percentage': '28%', 'clutch_success_percentage': '18%'}","['raze', 'fade', 'gekko']",vct-international
Keiko,TL,1.00,EMEA,"{'average_combat_score': '216.5', 'kill_deaths': '1.05', 'kill_assists_survived_traded': '69%', 'average_damage_per_round': '142.8', 'kills_per_round': '0.79', 'assists_per_round': '0.17', 'first_kills_per_round': '0.17', 'first_deaths_per_round': '0.17', 'headshot_percentage': '31%', 'clutch_success_percentage': '16%'}","['raze', 'yoru', 'jett']",vct-international
