playerName,team,rating,region,playerCategory,average_combat_score,kill_deaths,kill_assists_survived_traded,average_damage_per_round,kills_per_round,assists_per_round,first_kills_per_round,first_deaths_per_round,headshot_percentage,clutch_success_percentage,agent_1,agent_2,agent_3
Shifty,CCG,01.08,Americas,vct-challengers,203.0,01.05,76%,135.0,0.74,0.33,0.06,0.08,24%,22%,astra,sova,viper
shiio,PXU,0.93,EMEA,vct-challengers,171.9,0.86,69%,115.0,0.59,0.29,0.07,0.06,20%,15%,omen,viper,killjoy
shimoda,33,0.47,Americas,vct-challengers,84.0,0.25,48%,60.6,0.21,0.18,0.03,0.09,16%,,fade,kayo,
shin,36,0.71,Americas,vct-game-changer,161.0,0.72,53%,116.4,0.58,0.14,0.06,0.17,24%,17%,killjoy,,
shina,4F,0.95,Pacific,vct-game-changer,182.9,0.91,65%,126.9,0.65,0.16,0.12,0.10,29%,19%,chamber,cypher,killjoy
shinnok,OP,01.05,EMEA,vct-challengers,199.3,01.02,69%,137.2,0.72,0.20,0.06,0.06,28%,10%,killjoy,cypher,kayo
SHINSEI,KZ,01.02,Pacific,vct-challengers,243.7,1.10,65%,160.5,0.88,0.14,0.22,0.22,31%,11%,jett,reyna,cypher
Shintaro,ZOL,01.08,Pacific,vct-challengers,240.0,1.10,86%,163.7,0.82,0.25,0.32,0.11,17%,,jett,,
Shion7,DRG,,China,vct-international,180.7,0.84,,118.0,0.62,0.28,0.05,0.12,,,harbor,gekko,sova
shirah0sh1,RG,0.87,Pacific,vct-game-changer,189.7,0.84,62%,125.7,0.68,0.19,0.08,0.13,31%,18%,killjoy,reyna,cypher
shirazi,XIP,1.32,Pacific,vct-game-changer,231.6,1.59,82%,156.9,0.82,0.34,0.09,0.05,20%,19%,killjoy,viper,cypher
Shiro,BME,1.14,Pacific,vct-challengers,217.5,1.13,77%,145.9,0.75,0.45,0.10,0.09,24%,18%,viper,sova,brimstone
Shiro,RZN,0.99,EMEA,vct-challengers,205.0,01.07,64%,138.8,0.75,0.24,0.13,0.13,22%,33%,raze,cypher,neon
Shivam,34,0.59,Pacific,vct-challengers,192.0,0.67,59%,110.5,0.65,0.18,0.26,0.21,24%,,neon,,
Shondex,Blue,1.20,Americas,vct-challengers,232.5,1.52,71%,151.2,0.91,0.22,0.11,0.09,36%,,cypher,viper,
ShoT_UP,TOR,1.29,Americas,vct-challengers,240.2,1.25,78%,158.6,0.82,0.40,0.06,0.06,25%,25%,skye,astra,killjoy
Shoutstar,30,0.87,Pacific,vct-challengers,212.5,0.74,53%,154.9,0.67,0.17,0.03,0.10,25%,,cypher,brimstone,
Shr1mp,Q9,,China,vct-challengers,184.0,0.79,,118.9,0.62,0.36,0.00,0.10,,,kayo,breach,
