playerName,team,rating,region,playerStatistics,agent,playerCategory
Bob,Blue,1.14,Americas,"{'average_combat_score': '213.8', 'kill_deaths': '1.17', 'kill_assists_survived_traded': '75%', 'average_damage_per_round': '143.7', 'kills_per_round': '0.76', 'assists_per_round': '0.30', 'first_kills_per_round': '0.09', 'first_deaths_per_round': '0.05', 'headshot_percentage': '31%', 'clutch_success_percentage': '14%'}","['sova', 'skye', 'gekko']",vct-challengers
Entri,Inst,1.14,Americas,"{'average_combat_score': '220.0', 'kill_deaths': '1.07', 'kill_assists_survived_traded': '67%', 'average_damage_per_round': '142.8', 'kills_per_round': '0.77', 'assists_per_round': '0.18', 'first_kills_per_round': '0.11', 'first_deaths_per_round': '0.10', 'headshot_percentage': '23%', 'clutch_success_percentage': '24%'}","['jett', 'deadlock']",vct-challengers
Timotino,ROSE,1.14,Americas,"{'average_combat_score': '236.7', 'kill_deaths': '1.05', 'kill_assists_survived_traded': '71%', 'average_damage_per_round': '160.1', 'kills_per_round': '0.82', 'assists_per_round': '0.18', 'first_kills_per_round': '0.09', 'first_deaths_per_round': '0.13', 'headshot_percentage': '30%', 'clutch_success_percentage': ''}","['raze', 'harbor', 'jett']",vct-challengers
penny,G2,1.13,Americas,"{'average_combat_score': '239.9', 'kill_deaths': '1.18', 'kill_assists_survived_traded': '73%', 'average_damage_per_round': '157.4', 'kills_per_round': '0.82', 'assists_per_round': '0.19', 'first_kills_per_round': '0.16', 'first_deaths_per_round': '0.14', 'headshot_percentage': '22%', 'clutch_success_percentage': '14%'}","['raze', 'jett', 'reyna']",vct-challengers
ensena,44,1.13,Americas,"{'average_combat_score': '226.5', 'kill_deaths': '1.03', 'kill_assists_survived_traded': '73%', 'average_damage_per_round': '149.0', 'kills_per_round': '0.77', 'assists_per_round': '0.18', 'first_kills_per_round': '0.18', 'first_deaths_per_round': '0.18', 'headshot_percentage': '26%', 'clutch_success_percentage': ''}","['jett', 'chamber']",vct-challengers
zander,100T,1.13,Americas,"{'average_combat_score': '225.3', 'kill_deaths': '1.16', 'kill_assists_survived_traded': '76%', 'average_damage_per_round': '142.6', 'kills_per_round': '0.79', 'assists_per_round': '0.40', 'first_kills_per_round': '0.11', 'first_deaths_per_round': '0.10', 'headshot_percentage': '27%', 'clutch_success_percentage': '17%'}","['viper', 'omen', 'brimstone']",vct-challengers
Notexxd,LS,1.13,Americas,"{'average_combat_score': '216.0', 'kill_deaths': '1.14', 'kill_assists_survived_traded': '76%', 'average_damage_per_round': '142.4', 'kills_per_round': '0.77', 'assists_per_round': '0.39', 'first_kills_per_round': '0.11', 'first_deaths_per_round': '0.09', 'headshot_percentage': '35%', 'clutch_success_percentage': '22%'}","['viper', 'omen', 'brimstone']",vct-challengers
koalanoob,M80,1.12,Americas,"{'average_combat_score': '233.3', 'kill_deaths': '1.20', 'kill_assists_survived_traded': '73%', 'average_damage_per_round': '147.2', 'kills_per_round': '0.82', 'assists_per_round': '0.25', 'first_kills_per_round': '0.19', 'first_deaths_per_round': '0.13', 'headshot_percentage': '21%', 'clutch_success_percentage': '15%'}","['omen', 'jett', 'raze']",vct-challengers
ducq,Pros,1.12,Americas,"{'average_combat_score': '232.3', 'kill_deaths': '1.00', 'kill_assists_survived_traded': '63%', 'average_damage_per_round': '163.4', 'kills_per_round': '0.77', 'assists_per_round': '0.32', 'first_kills_per_round': '0.08', 'first_deaths_per_round': '0.11', 'headshot_percentage': '22%', 'clutch_success_percentage': '15%'}","['killjoy', 'sage', 'kayo']",vct-challengers
Cactus,CCG,1.12,Americas,"{'average_combat_score': '236.3', 'kill_deaths': '1.23', 'kill_assists_survived_traded': '69%', 'average_damage_per_round': '158.5', 'kills_per_round': '0.87', 'assists_per_round': '0.14', 'first_kills_per_round': '0.13', 'first_deaths_per_round': '0.06', 'headshot_percentage': '23%', 'clutch_success_percentage': ''}","['killjoy', 'cypher']",vct-challengers
bao,LS,1.11,Americas,"{'average_combat_score': '233.1', 'kill_deaths': '1.12', 'kill_assists_survived_traded': '75%', 'average_damage_per_round': '147.4', 'kills_per_round': '0.82', 'assists_per_round': '0.30', 'first_kills_per_round': '0.10', 'first_deaths_per_round': '0.09', 'headshot_percentage': '27%', 'clutch_success_percentage': '21%'}","['clove', 'chamber', 'brimstone']",vct-challengers
Ksiaze,SC,1.11,Americas,"{'average_combat_score': '239.2', 'kill_deaths': '1.13', 'kill_assists_survived_traded': '65%', 'average_damage_per_round': '155.1', 'kills_per_round': '0.86', 'assists_per_round': '0.12', 'first_kills_per_round': '0.19', 'first_deaths_per_round': '0.12', 'headshot_percentage': '29%', 'clutch_success_percentage': '15%'}","['jett', 'raze']",vct-challengers
mikeE,BLIN,1.11,Americas,"{'average_combat_score': '213.9', 'kill_deaths': '1.16', 'kill_assists_survived_traded': '74%', 'average_damage_per_round': '143.2', 'kills_per_round': '0.78', 'assists_per_round': '0.22', 'first_kills_per_round': '0.10', 'first_deaths_per_round': '0.07', 'headshot_percentage': '32%', 'clutch_success_percentage': '10%'}","['killjoy', 'cypher', 'jett']",vct-challengers
jcrueL,NBG,1.11,Americas,"{'average_combat_score': '209.8', 'kill_deaths': '1.09', 'kill_assists_survived_traded': '74%', 'average_damage_per_round': '137.4', 'kills_per_round': '0.73', 'assists_per_round': '0.37', 'first_kills_per_round': '0.07', 'first_deaths_per_round': '0.08', 'headshot_percentage': '21%', 'clutch_success_percentage': '23%'}","['viper', 'brimstone', 'omen']",vct-challengers
evolution,41,1.11,Americas,"{'average_combat_score': '224.5', 'kill_deaths': '0.97', 'kill_assists_survived_traded': '56%', 'average_damage_per_round': '163.8', 'kills_per_round': '0.80', 'assists_per_round': '0.15', 'first_kills_per_round': '0.15', 'first_deaths_per_round': '0.22', 'headshot_percentage': '30%', 'clutch_success_percentage': '25%'}","['chamber', 'jett']",vct-challengers
Katashio,CVU.NBG,1.11,Americas,"{'average_combat_score': '224.8', 'kill_deaths': '1.13', 'kill_assists_survived_traded': '74%', 'average_damage_per_round': '148.7', 'kills_per_round': '0.76', 'assists_per_round': '0.22', 'first_kills_per_round': '0.14', 'first_deaths_per_round': '0.13', 'headshot_percentage': '19%', 'clutch_success_percentage': '13%'}","['jett', 'raze']",vct-challengers
corey,DZ,1.11,Americas,"{'average_combat_score': '223.5', 'kill_deaths': '1.11', 'kill_assists_survived_traded': '73%', 'average_damage_per_round': '150.3', 'kills_per_round': '0.78', 'assists_per_round': '0.29', 'first_kills_per_round': '0.15', 'first_deaths_per_round': '0.13', 'headshot_percentage': '28%', 'clutch_success_percentage': '16%'}","['neon', 'yoru', 'kayo']",vct-challengers
skuba,OXG,1.10,Americas,"{'average_combat_score': '196.2', 'kill_deaths': '1.13', 'kill_assists_survived_traded': '76%', 'average_damage_per_round': '123.8', 'kills_per_round': '0.72', 'assists_per_round': '0.36', 'first_kills_per_round': '0.07', 'first_deaths_per_round': '0.07', 'headshot_percentage': '28%', 'clutch_success_percentage': '16%'}","['omen', 'astra', 'brimstone']",vct-challengers
velis,RESO,1.10,Americas,"{'average_combat_score': '196.4', 'kill_deaths': '1.06', 'kill_assists_survived_traded': '76%', 'average_damage_per_round': '132.3', 'kills_per_round': '0.69', 'assists_per_round': '0.45', 'first_kills_per_round': '0.07', 'first_deaths_per_round': '0.07', 'headshot_percentage': '25%', 'clutch_success_percentage': '14%'}","['brimstone', 'viper', 'omen']",vct-challengers
